"POS","ID","PosScore","NegScore","SynsetTerms","Gloss"
"n","04799789",0.25,0.625,"alienism#2 alienage#1","the quality of being alien"
"n","04800359",0,0.625,"originality#2","the quality of being new and original (not derived from something else)"
"n","04801030",0,0.75,"nonconformity#3","unorthodoxy as a consequence of not conforming to expected standards or values"
"n","04802403",0.125,0.75,"wrongness#3 incorrectness#2","the quality of not conforming to fact or truth"
"n","04804451",0.125,0.75,"inaccuracy#1","the quality of being inaccurate and having errors"
"n","04804611",0.125,0.75,"inexactness#1 inexactitude#1","the quality of being inaccurate and having errors"
"n","04805136",0,0.625,"infallibility#1","the quality of never making an error"
"n","04811476",0,0.875,"illegitimacy#2","unlawfulness by virtue of not being authorized by or in accordance with law"
"n","04811628",0,0.75,"illicitness#1","the quality of not conforming strictly to law"
"n","04816761",0,0.625,"sleaziness#2 shabbiness#1 seediness#1 manginess#1","a lack of elegance as a consequence of wearing threadbare or dirty clothing"
"n","04817564",0.125,0.75,"roughness#3 crudeness#3","an unpolished unrefined quality; \"the crudeness of frontier dwellings depressed her\""
"n","04818460",0.25,0.75,"tat#1 tackiness#2 sleaze#1 cheapness#2","tastelessness by virtue of being cheap and vulgar"
"n","04819694",0.25,0.625,"expressiveness#1","the quality of being expressive"
"n","04819822",0.25,0.625,"picturesqueness#1","the quality of being strikingly expressive or vivid"
"n","04824118",0.125,0.75,"elusiveness#1","the quality of being difficult to grasp or pin down; \"the author's elusiveness may at times be construed as evasiveness\""
"n","04824819",0.25,0.625,"inexplicitness#1","unclearness by virtue of not being explicit"
"n","04828612",0.125,0.625,"irreligiousness#1 irreligion#1","the quality of not being devout"
"n","04828754",0.25,0.625,"ungodliness#1 godlessness#2","impiety by virtue of not being a godly person"
"n","04829550",0,0.75,"pity#3 compassion#2","the humane quality of understanding the suffering of others and wanting to do something about it"
"n","04830343",0.125,0.875,"heinousness#1 barbarousness#1 barbarity#1 atrocity#1 atrociousness#1","the quality of being shockingly cruel and inhumane"
"n","04831264",0,0.75,"ruthlessness#1 pitilessness#2","mercilessness characterized by a lack of pity"
"n","04831437",0,0.625,"relentlessness#1 inexorableness#1 inexorability#1","mercilessness characterized by an unwillingness to relent or let up; \"the relentlessness or their pursuit\""
"n","04832050",0.125,0.75,"charitableness#1","generosity as manifested by practicing charity (as for the poor or unfortunate)"
"n","04832951",0,0.75,"unselfishness#1","the quality of not putting yourself first but being willing to give your time or money or effort etc. for others; \"rural people show more devotion and unselfishness than do their urban cousins\""
"n","04834605",0,0.625,"selfishness#1","stinginess resulting from a concern for your own welfare and a disregard of others"
"n","04839676",0.25,0.625,"unfairness#2 inequity#1","injustice by virtue of not conforming with rules or standards"
"n","04842313",0,0.875,"malice#2 malevolency#1 malevolence#2","the quality of threatening evil"
"n","04842515",0,0.875,"spitefulness#2 spite#2 nastiness#2 cattiness#1 bitchiness#1","malevolence by virtue of being malicious or spiteful or nasty"
"n","04842788",0.125,0.75,"malignity#2 malignancy#2 malignance#2","quality of being disposed to evil; intense ill will"
"n","04843429",0,0.625,"defensiveness#1","excessive sensitivity to criticism; \"his defensiveness was manifested in hurt silence\"; \"the fear of being sued for malpractice has magnified physicians' defensiveness\""
"n","04844024",0.125,0.625,"insensitivity#1 insensitiveness#1","the inability to respond to affective changes in your interpersonal environment"
"n","04845475",0,0.875,"harshness#3 cruelty#3 cruelness#1","the quality of being cruel and causing tension or annoyance"
"n","04845863",0.25,0.625,"unhelpfulness#1","an inability to be helpful"
"n","04846383",0.25,0.625,"bluntness#1","the quality of being direct and outspoken; \"the bluntness of a Yorkshireman\""
"n","04846533",0.125,0.625,"mischief#2 maleficence#2 balefulness#1","the quality or nature of being harmful or evil"
"n","04850589",0.25,0.75,"immorality#1","the quality of not being in accord with standards of right or good conduct; \"the immorality of basing the defense of the West on the threat of mutual assured destruction\""
"n","04851962",0.125,0.75,"wrongness#2","contrary to conscience or morality"
"n","04852750",0.125,0.75,"wickedness#3 vileness#1 ugliness#2 nefariousness#1","the quality of being wicked"
"n","04853124",0.333,0.667,"enormity#3","the quality of extreme wickedness"
"n","04853361",0.444,0.556,"villainy#1 villainousness#1","the quality of evil by virtue of villainous behavior"
"n","04854604",0,0.75,"wrongfulness#1 wrong#1","that which is contrary to the principles of justice or law; \"he feels that you are in the wrong\""
"n","04856460",0.125,0.75,"dangerousness#1","the quality of not being safe"
"n","04858222",0,0.625,"dutch_courage#1","courage resulting from intoxication"
"n","04858455",0.125,0.625,"fearlessness#2","the trait of feeling no fear"
"n","04863497",0,0.625,"intransigency#1 intransigence#1","the trait of being intransigent; stubbornly refusing to compromise"
"n","04867539",0.25,0.75,"wholeheartedness#1 heartiness#2","the quality of hearty sincerity"
"n","04867871",0.125,0.625,"insincerity#1 hollowness#3 falseness#3","the quality of not being open or truthful; deceitful or hypocritical"
"n","04870206",0.25,0.75,"incorruptibility#1","the incapability of being corrupted"
"n","04873550",0.125,0.75,"dishonourableness#1 dishonorableness#1","the quality of not deserving honor or respect"
"n","04874672",0.125,0.75,"dishonesty#1","the quality of being dishonest"
"n","04874939",0.125,0.75,"obliquity#2 deceptiveness#1","the quality of being deceptive"
"n","04875352",0.125,0.75,"fraudulence#2 deceit#1","the quality of being fraudulent"
"n","04875935",0,0.625,"thievishness#1 larcenous#1","having a disposition to steal"
"n","04876374",0.25,0.625,"disingenuousness#1","the quality of being disingenuous and lacking candor"
"n","04877783",0,0.625,"steadfastness#1 staunchness#1","loyalty in the face of trouble and difficulty"
"n","04884627",0,0.75,"self-indulgence#1 indulgence#1","an inability to resist the gratification of whims and desires"
"n","04888268",0.125,0.625,"superciliousness#1 disdainfulness#1 condescension#1","the trait of displaying arrogance by patronizing those considered inferior"
"n","04888703",0.25,0.625,"hubris#1","overbearing pride or presumption"
"n","04889527",0.25,0.75,"humility#1 humbleness#3","a disposition to be humble; a lack of false pride; \"not everyone regards humility as a virtue\""
"n","04889779",0,0.625,"subduedness#2 meekness#2","a disposition to be patient and long suffering"
"n","04889966",0.375,0.625,"spinelessness#1","the quality of lacking a strong character; an irresolute disposition"
"n","04894444",0,0.75,"lightheadedness#2","a frivolous lack of prudence"
"n","04897428",0.25,0.625,"untidiness#2 messiness#2","the trait of being untidy and messy"
"n","04901152",0.125,0.625,"prudishness#1 prudery#1 primness#1 grundyism#1","excessive or affected modesty"
"n","04901996",0,0.75,"wrongness#1 inappropriateness#1","inappropriate conduct"
"n","04902165",0.125,0.75,"indelicacy#1","the trait of being indelicate and offensive"
"n","04902925",0.125,0.75,"indecency#1","the quality of being indecent"
"n","04908835",0,0.625,"stubbornness#1 obstinance#1 obstinacy#1 mulishness#1","the trait of being difficult to handle or overcome"
"n","04909270",0,0.625,"orneriness#1 cussedness#1","meanspirited disagreeable contrariness"
"n","04915121",0.375,0.625,"gaucheness#1 crudity#2 crudeness#2","an impolite manner that is vulgar and lacking tact or refinement; \"the whole town was famous for its crudeness\""
"n","04920000",0.125,0.625,"robustness#2","the characteristic of being strong enough to withstand intellectual challenge; \"the lack of robustness in the findings may be due to the small size of the sample\""
"n","04928008",0,0.75,"staleness#2","having lost purity and freshness as a consequence of aging"
"n","04928194",0,0.875,"mustiness#1 must#3 moldiness#1","the quality of smelling or tasting old or stale or mouldy"
"n","04937587",0,0.875,"hardness#2","a quality of water that contains dissolved mineral salts that prevent soap from lathering; \"the costs of reducing hardness depend on the relative amounts of calcium and magnesium compounds that are present\""
"n","04950336",0,0.625,"sleekness#1","the quality of being well-groomed and neatly tailored; \"the sleekness of his appearance reminded me of his financial successes\""
"n","04959061",0,0.625,"achromia#1","an absence of normal pigmentation especially in the skin (as in albinism) or in red blood cells"
"n","04971131",0.125,0.625,"pinkness#1","the quality of being pink"
"n","04976687",0,0.625,"depigmentation#1","absence or loss of pigmentation (or less than normal pigmentation) in the skin or hair"
"n","04977561",0,0.625,"wanness#1 pallor#1 pallidness#1 paleness#1 luridness#2 lividness#1 lividity#2 achromasia#1","unnatural lack of color in the skin (as from bruising or sickness or emotional distress)"
"n","04984514",0,0.75,"dissonance#3","disagreeable sounds"
"n","04994824",0.125,0.625,"bitterness#4 bitter#3","the property of having a harsh unpleasant taste"
"n","05004532",0,0.625,"ungracefulness#1 gracelessness#1","an unpleasant lack of grace in carriage or form or movement or expression"
"n","05006285",0,0.625,"lifelessness#2 inanimateness#1","not having life"
"n","05017909",0.125,0.625,"invisibleness#1 invisibility#1","the quality of not being perceivable by the eye"
"n","05032028",0,0.625,"invincibility#1 indomitability#1","the property being difficult or impossible to defeat"
"n","05032795",0,0.625,"sufferance#1","patient endurance especially of pain or distress"
"n","05033291",0,0.75,"long-suffering#1 long-sufferance#1","patient endurance of pain or unhappiness"
"n","05036715",0,0.75,"severity#1 severeness#1 badness#2","used of the degree of something undesirable e.g. pain or weather"
"n","05037197",0.375,0.625,"seriousness#2 distressfulness#1","the quality of arousing fear or distress; \"he learned the seriousness of his illness\""
"n","05041503",0.125,0.625,"fragility#2 delicacy#5","lack of physical strength"
"n","05042720",0.125,0.625,"underbelly#3","the quality of being weak or unprotected; \"the soft underbelly of the Axis\"- Winston Churchill"
"n","05042871",0,0.875,"vulnerability#2","susceptibility to injury or attack"
"n","05043755",0.125,0.75,"frangibleness#1 frangibility#1 fragility#1 breakability#1","quality of being easily damaged or destroyed"
"n","05047956",0.125,0.75,"tardiness#1","the quality or habit of not adhering to a correct or usual or expected time"
"n","05049656",0.125,0.625,"pastness#1","the quality of being past"
"n","05062370",0,0.625,"procrastination#2 dilatoriness#1","slowness as a consequence of not getting around to it"
"n","05066012",0,0.625,"irregularity#3 geometrical_irregularity#1","an irregular asymmetry in shape; an irregular spatial pattern"
"n","05093080",0,0.625,"slim_chance#1 fat_chance#1","little or no chance of success"
"n","05106317",0,0.625,"largeness#2 extensiveness#1","large or extensive in breadth or importance or comprehensiveness; \"the might have repercussions of unimaginable largeness\"; \"the very extensiveness of his power was a temptation to abuse it\""
"n","05108262",0,0.75,"negativity#3 negativeness#3","an amount less than zero"
"n","05113462",0.25,0.625,"scantness#1 scantiness#1 poorness#3 meagreness#1 meagerness#1 leanness#1 exiguity#1","the quality of being meager; \"an exiguity of cloth that would only allow of miniature capes\"-George Eliot"
"n","05117140",0,0.75,"paucity#1 dearth#2","an insufficient quantity or number"
"n","05118251",0.25,0.625,"immoderation#1 immoderateness#1","the quality of being excessive and lacking in moderation"
"n","05119096",0,0.625,"outrageousness#1 exorbitance#1","excessive excess"
"n","05120000",0,0.625,"bellyful#1","an undesirable overabundance; \"a bellyful of your complaints\""
"n","05139094",0,0.875,"fault#3 demerit#2","the quality of being inadequate or falling short of perfection; \"they discussed the merits and demerits of her novel\"; \"he knew his own faults much better than she did\""
"n","05140593",0.25,0.625,"trashiness#1 shoddiness#1","the quality of being cheaply imitative of something better"
"n","05141040",0,0.75,"vanity#2 emptiness#4","the quality of being valueless or futile; \"he rejected the vanities of the world\""
"n","05144079",0,0.875,"badness#1 bad#1","that which is below standard or expectations as of ethics or decency; \"take the bad with the good\""
"n","05144453",0,0.625,"worse#1","something inferior in quality or condition or effect; \"for better or for worse\"; \"accused of cheating and lying and worse\""
"n","05144663",0,0.75,"evil#2","that which causes harm or destruction or misfortune; \"the evil that men do lives after them; the good is oft interred with their bones\"- Shakespeare"
"n","05153155",0,0.75,"impracticableness#1 impracticability#1","the quality of not being usable"
"n","05153359",0.125,0.625,"unfeasibility#1 infeasibility#1","the quality of not being doable"
"n","05155476",0,0.625,"resourcefulness#1","the quality of being able to cope with a difficult situation; \"a man of great resourcefulness\""
"n","05159606",0,0.75,"weak_point#1","an attribute that is inadequate or deficient"
"n","05161614",0,0.75,"disadvantage#1","the quality of having an inferior or less favorable position"
"n","05161967",0,0.625,"unfavourableness#1 unfavorableness#1","the quality of not being encouraging or indicative of success"
"n","05162217",0,0.625,"unpropitiousness#1 inauspiciousness#1","the quality of suggesting an unsuccessful result"
"n","05162985",0,0.75,"loss#4 deprivation#2","the disadvantage that results from losing something; \"his loss of credibility led to his resignation\"; \"losing him is no great deprivation\""
"n","05164845",0,0.875,"penalty#3","the disadvantage or painful consequences of an action or condition; \"neglected his health and paid the penalty\""
"n","05165028",0.125,0.625,"inadvisability#1","the quality of being ill-advised"
"n","05165175",0.125,0.625,"unfavorable_position#1 inferiority#3","the quality of being a competitive disadvantage"
"n","05165533",0.125,0.625,"unprofitableness#1 unprofitability#1","the quality of affording no gain or no benefit or no profit"
"n","05165904",0,0.625,"destructiveness#1","the quality of causing destruction"
"n","05166072",0,0.75,"injuriousness#1 harmfulness#1","destructiveness that causes harm or injury"
"n","05167412",0,0.75,"pushiness#1 forwardness#1 cockiness#1 bumptiousness#1","offensive boldness and assertiveness"
"n","05167618",0,0.75,"negativity#2 negativism#1 negativeness#2","characterized by habitual skepticism and a disagreeable tendency to deny or oppose or resist suggestions or commands"
"n","05170923",0.25,0.625,"hell_to_pay#1","dire consequences; \"when the pig ran away there was hell to pay\""
"n","05172596",0.333,0.667,"unimportance#2","the quality of not being important or worthy of note"
"n","05172815",0.125,0.75,"inessentiality#1","not of basic importance"
"n","05173205",0.25,0.625,"triviality#1 slightness#1 puniness#1 pettiness#2","the quality of being unimportant and petty or frivolous"
"n","05202954",0.25,0.75,"defensibility#1","capability of being defended; \"they built their castles with an eye to their defensibility\"; \"client complaints create a felt need for the defensibility of individual actions\""
"n","05204982",0.125,0.625,"weakness#2 impuissance#1 helplessness#1","powerlessness revealed by an inability to act; \"in spite of their weakness the group remains active\""
"n","05207570",0,0.75,"incapableness#2 incapability#2","the quality of not being capable -- physically or intellectually or legally"
"n","05207846",0,0.625,"incapacity#2","lack of physical or natural qualifications"
"n","05208595",0.375,0.625,"stardust#1","a dreamy romantic or sentimental quality"
"n","05209324",0,0.75,"unboundedness#1 limitlessness#1 infinitude#2 infiniteness#1 boundlessness#1","the quality of being infinite; without bound or limit"
"n","05211254",0.125,0.875,"poignancy#2 pathos#1","a quality that arouses emotions (especially pity or sorrow); \"the film captured all the pathos of their situation\""
"n","05213894",0,0.75,"resistance#8","the degree of unresponsiveness of a disease-causing microorganism to antibiotics or other drugs (as in penicillin-resistant bacteria)"
"n","05214851",0.125,0.75,"snootiness#1","the quality of being snooty; \"he disliked his neighbors' snootiness\""
"n","05215699",0,0.625,"unsolvability#1 insolubility#1","the property (of a problem or difficulty) that makes it impossible to solve"
"n","05252016",0,0.625,"venous_sinus#1 sinus#3","a wide channel containing blood; does not have the coating of an ordinary blood vessel"
"n","05254627",0,0.625,"ingrown_hair#1","a hair that does not emerge from the follicle but remains embedded in the skin (usually causing inflammation)"
"n","05272110",0,0.625,"carpal_tunnel#1","a passageway in the wrist through which nerves and the flexor muscles of the hands pass"
"n","05324276",0,0.625,"cauliflower_ear#1","an auricle deformed by injury; common among boxers"
"n","05378458",0,0.625,"vena_pulmanalis_inferior#1 inferior_pulmonary_vein#1","either of two pulmonary veins (left and right) returning blood from the inferior lobes of the lungs"
"n","05380532",0,0.625,"vena_sigmoideus#1 sigmoid_vein#1","tributaries of the inferior mesenteric vein; drains the sigmoid colon"
"n","05402961",0,0.625,"whole_blood#1","blood that has not been modified except for the addition of an anticoagulant; \"whole blood is normally used in blood transfusions\""
"n","05406782",0,0.625,"melancholy#3 black_bile#1","a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy"
"n","05409136",0,0.75,"cholecystokinin#1","a gastrointestinal hormone that stimulates the secretion of pancreatic enzymes and the contraction and emptying of the gall bladder; its release is stimulated by the presence of fatty acids and amino acids in the small intestine"
"n","05439942",0,0.625,"nonallele#1","genes that are not competitors at the same locus"
"n","05451099",0,0.625,"fixed_phagocyte#1","a phagocyte that does not circulate in the blood but is fixed in the liver or spleen or bone marrow etc."
"n","05615500",0,0.625,"prudence#2 discretion#2 discreetness#1 circumspection#1","knowing how to avoid embarrassment or distress; \"the servants showed great tact and discretion\""
"n","05632272",0,0.625,"fancy#2","a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination"
"n","05641432",0,0.625,"coordination#4","being of coordinate importance, rank, or degree"
"n","05641720",0,0.625,"incoordination#1","a lack of coordination of movements"
"n","05645199",0,0.625,"mental_block#1 block#7","an inability to remember or think of something you normally can do; often caused by emotional tension; \"I knew his name perfectly well but I had a temporary block\""
"n","05645597",0.125,0.75,"stupidity#1","a poor ability to understand or to profit from experience"
"n","05646723",0,0.75,"feeblemindedness#1","severe mental deficiency"
"n","05647015",0,0.625,"imbecility#1","retardation more severe than a moron but not as severe as an idiot"
"n","05647772",0,0.625,"talentlessness#1","a lack of talent"
"n","05649960",0,0.625,"camp#6","something that is considered amusing not because of its originality but because of its unoriginality; \"the living room was pure camp\""
"n","05659260",0.125,0.625,"kinanesthesia#1","inability to sense movement"
"n","05679611",0,0.625,"unknowingness#2 unawareness#1","unconsciousness resulting from lack of knowledge or attention"
"n","05680573",0,0.625,"hepatic_coma#1","coma that can occur in severe cases of liver disease"
"n","05680982",0,0.75,"insensibility#1","a lack of sensibility"
"n","05683390",0,0.625,"snoopiness#1 prying#1 nosiness#1","offensive inquisitiveness"
"n","05685363",0.125,0.75,"perplexity#1","trouble or confusion resulting from complexity"
"n","05688169",0,0.75,"hydra#3","trouble that cannot be overcome by a single effort because of its many aspects or its persistent and pervasive quality; \"we may be facing a hydra that defies any easy solution\""
"n","05688907",0,0.75,"pisser#2","a very disagreeable difficulty"
"n","05689109",0,0.625,"snorter#2","something outstandingly difficult; \"the problem was a real snorter\""
"n","05693669",0,0.625,"pestilence#3 canker#3","a pernicious and malign influence that is hard to get rid of; \"racism is a pestilence at the heart of the nation\"; \"according to him, I was the canker in their midst\""
"n","05696199",0.333,0.667,"mismatch#1","a bad or unsuitable match"
"n","05696701",0.125,0.625,"ersatz#1","an artificial or inferior substitute or imitation"
"n","05699906",0.125,0.75,"morbidness#1 morbidity#2","an abnormally gloomy or unhealthy state of mind; \"his fear of being alone verges on morbidity\""
"n","05700401",0,0.75,"obsession#2 fixation#2","an unhealthy and compulsive preoccupation with something or someone"
"n","05714894",0,0.75,"stink#1 stench#1 reek#1 mephitis#2 malodour#1 malodor#1 foetor#1 fetor#1","a distinctive odor that is offensively unpleasant"
"n","05715150",0,0.75,"pong#1 niff#1","an unpleasant smell"
"n","05723811",0,0.75,"pruritus#1","an intense itching sensation that can have various causes (as by allergies or infection or lymphoma or jaundice etc.)"
"n","05724694",0,0.75,"painful_sensation#1 pain_sensation#1 pain#3","a somatic sensation of acute discomfort; \"as the intensity increased the sensation changed from tickle to pain\""
"n","05725269",0,0.625,"twinge#2","a sharp stab of pain"
"n","05756698",0,0.625,"irradiation#5","(Pavolvian conditioning) the elicitation of a conditioned response by stimulation similar but not identical to the original stimulus"
"n","05806231",0.25,0.625,"incomprehension#1","an inability to understand; \"his incomprehension of the consequences\""
"n","05821102",0,0.75,"excuse#3 apology#3","a poor example; \"it was an apology for a meal\"; \"a poor excuse for an automobile\""
"n","05821246",0,0.625,"exception#2","an instance that does not conform to a rule or generalization; \"all her children were brilliant; the only exception was her last child\"; \"an exception tests the rule\""
"n","05823317",0,0.75,"mitigating_circumstance#1","(law) a circumstance that does not exonerate a person but which reduces the penalty associated with the offense"
"n","05824985",0,0.75,"reductio_ad_absurdum#1 reductio#1","(reduction to the absurd) a disproof by showing that the consequences of the proposition are absurd; or a proof of a proposition by showing that its negation leads to a contradiction"
"n","05829480",0,0.625,"negative_stimulus#1","a stimulus with undesirable consequences"
"n","05831939",0,0.625,"plague#5","an annoyance; \"those children are a damn plague\""
"n","05832745",0,0.875,"onus#1 load#6 incumbrance#2 encumbrance#1 burden#1","an onerous or difficult concern; \"the burden of responsibility\"; \"that's a load off my mind\""
"n","05833371",0,0.625,"imposition#2","an uncalled-for burden; \"he listened but resented the imposition\""
"n","05833511",0,0.875,"pill#4","something unpleasant or offensive that must be tolerated or endured; \"his competitor's success was a bitter pill to take\""
"n","05886939",0,0.625,"pauli_exclusion_principle#1 exclusion_principle#1","no two electrons or protons or neutrons in a given system can be in states characterized by the same set of quantum numbers"
"n","05888929",0,0.625,"theory#2 possibility#3 hypothesis#2","a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena; \"a scientific hypothesis that survives experimental testing becomes a scientific theory\"; \"he proposed a fresh theory of alkalis that later was accepted in chemical practices\""
"n","05889575",0,0.625,"hypothetical#1","a hypothetical possibility, circumstance, statement, proposal, situation, etc.; \"consider the following, just as a hypothetical\""
"n","05893653",0.25,0.625,"misconception#1","an incorrect conception"
"n","05895465",0,0.625,"error#3 erroneous_belief#1","a misconception resulting from incorrect information"
"n","05915034",0,0.625,"hajj#1 haj#1 hadj#1","the fifth pillar of Islam is a pilgrimage to Mecca during the month of Dhu al-Hijja; at least once in a lifetime a Muslim is expected to make a religious journey to Mecca and the Kaaba; \"for a Muslim the hajj is the ultimate act of worship\""
"n","05926150",0,0.75,"kink#4","an eccentric idea"
"n","05935535",0,0.625,"confabulation#2","(psychiatry) a plausible but imagined memory that fills in gaps in what is remembered"
"n","05942888",0,0.625,"strong_belief#1 conviction#1 article_of_faith#2","an unshakable belief in something without need for proof or evidence"
"n","05945642",0,0.625,"view#5 thought#4 sentiment#2 persuasion#2 opinion#1","a personal belief or judgment that is not founded on proof or certainty; \"my opinion differs from yours\"; \"I am not of your persuasion\"; \"what are your thoughts on Haiti?\""
"n","05951566",0,0.625,"misgiving#2 apprehension#3","painful expectation"
"n","06022727",0,0.625,"nonparametric_statistic#1 distribution_free_statistic#1","a statistic computed without knowledge of the form or the parameters of the distribution from which observations are drawn"
"n","06160244",0,0.75,"casuistry#1","argumentation that is specious or excessively subtle and intended to be misleading"
"n","06201042",0,0.75,"reprobation#2","severe disapproval"
"n","06201908",0,0.875,"prejudice#1 preconception#2 bias#1","a partiality that prevents objective consideration of an issue or situation"
"n","06202553",0.125,0.75,"unfairness#1","partiality that is not fair or equitable"
"n","06241576",0,0.625,"hinayana_buddhism#1 hinayana#2","an offensive name for the early conservative Theravada Buddhism; it died out in India but survived in Sri Lanka and was taken from there to other regions of southwestern Asia"
"n","06251424",0.125,0.625,"wrinkle#2","a minor difficulty; \"they finally have the wrinkles pretty well ironed out\""
"n","06312001",0,0.75,"attributive_genitive_case#1 attributive_genitive#1","a word in the genitive case that is used as an attributive adjective; \"an example of the attributive genetive is `John's' in `John's mother'\""
"n","06314808",0,0.625,"subordinate_clause#1 dependent_clause#1","a clause in a complex sentence that cannot stand alone as a complete sentence and that functions within the sentence as a noun or adjective or adverb"
"n","06315454",0,0.625,"nonrestrictive_clause#1 descriptive_clause#1","a subordinate clause that does not limit or restrict the meaning of the noun phrase it modifies"
"n","06338485",0.333,0.667,"misnomer#1","an incorrect or unsuitable name"
"n","06347122",0.25,0.625,"mistranslation#1","an incorrect translation"
"n","06353653",0.25,0.625,"misspelling#1","a spelling that is incorrect"
"n","06372925",0,0.625,"twilight_of_the_gods#1 ragnarok#1 gotterdammerung#1","myth about the ultimate destruction of the gods in a battle with evil"
"n","06380373",0,0.625,"vers_libre#1 free_verse#1","unrhymed verse without a consistent metrical pattern"
"n","06387053",0,0.625,"potboiler#1","a literary composition of poor quality that was written quickly to make money (to boil the pot)"
"n","06387204",0,0.625,"tushery#1","writing of poor quality; characterized by affected choice of archaic words"
"n","06404147",0,0.875,"scribble#1 scrawl#1 scratch#8 cacography#1","poor handwriting"
"n","06463011",0,0.625,"haggadah#1 haggada#1 hagada#1","Talmudic literature that does not deal with law but is still part of Jewish tradition"
"n","06525406",0,0.625,"conspiracy_of_silence#1","a conspiracy not to talk about some situation or event; \"there was a conspiracy of silence about police brutality\""
"n","06587048",0,0.625,"system_error#1","an instruction that is either not recognized by an operating system or is in violation of the procedural rules"
"n","06609403",0.125,0.625,"mummery#1 flummery#2","meaningless ceremonies and flattery"
"n","06613576",0.25,0.625,"misquote#1 misquotation#1","an incorrect quotation"
"n","06633363",0,0.625,"apology#1","an expression of regret at having caused trouble for someone; \"he wrote a letter of apology to the hostess\""
"n","06663785",0,0.625,"caveat_emptor#1","a commercial principle that without a warranty the buyer takes upon himself the risk of quality"
"n","06696308",0.125,0.625,"unction#1 smarm#1 fulsomeness#1","excessive but superficial compliments given with affected charm"
"n","06709998",0,0.75,"censure#1 animadversion#1","harsh criticism or disapproval"
"n","06710152",0,0.625,"demonization#1 demonisation#1","to represent as diabolically evil; \"the demonization of our enemies\""
"n","06712498",0,0.625,"slating#2","a severely critical attack; \"the reviewers gave his book a sound slating\""
"n","06712761",0,0.75,"stricture#2","severe criticism"
"n","06713187",0,0.75,"upbraiding#1 going-over#2 earful#2 dressing_down#1 chewing_out#1 castigation#1 bawling_out#1","a severe scolding"
"n","06713377",0,0.75,"blowing_up#1 berating#1","a severe rebuke; \"he deserved the berating that the coach gave him\""
"n","06713512",0,0.75,"reproach#1","a mild rebuke or criticism; \"words of reproach\""
"n","06713752",0,0.75,"rap#1 blame#2","a reproach for some lapse or misdeed; \"he took the blame for it\"; \"it was a bum rap\""
"n","06714976",0,1,"disrespect#1 discourtesy#1","an expression of lack of respect"
"n","06715927",0,0.625,"scorn#2 contempt#3","open disrespect for a person or thing"
"n","06719579",0,0.625,"traducement#1 obloquy#2 hatchet_job#1 defamation#1 calumny#1 calumniation#1","a false accusation of an offense or a malicious misrepresentation of someone's words or actions"
"n","06720216",0,0.625,"vilification#1 smear#1 malignment#1","slanderous defamation"
"n","06721342",0,0.875,"scurrility#1 billingsgate#1","foul-mouthed or obscene abuse"
"n","06745861",0,0.75,"stipulative_definition#1","a definition that is stipulated by someone and that is not a standard usage"
"n","06757891",0,0.75,"fiction#2 fabrication#1 fable#1","a deliberately false or improbable account"
"n","06758135",0,0.875,"canard#1","a deliberately misleading fabrication"
"n","06758225",0,0.625,"misrepresentation#1 deception#1 deceit#2","a misleading falsehood"
"n","06760249",0,0.875,"crocodile_tears#1","a hypocritical display of sorrow; false or insincere weeping; \"the secretaries wept crocodile tears over the manager's dilemma\"; \"politicians shed crocodile tears over the plight of the unemployed\""
"n","06772583",0,0.625,"oral_contract#1","an agreement that is not in writing and is not signed by the parties but is a real existing contract that lacks only the formal requirement of a memorandum to render it enforceable in litigation"
"n","06779839",0,0.75,"sick_joke#1","a joke in bad taste"
"n","06782383",0,0.75,"adverse_opinion#1","an opinion concerning financial statements (usually based on an audit by a CPA) that the statements as a whole do not present results fairly or are not in conformity with the generally accepted accounting practices of the United States"
"n","06785223",0,0.625,"riddle#1 enigma#2 conundrum#1 brain-teaser#1","a difficult problem"
"n","06877849",0,0.625,"scowl#1 frown#1","a facial expression of dislike or displeasure"
"n","06878580",0.25,0.625,"smirk#1","a smile expressing smugness or scorn instead of pleasure"
"n","07016098",0.125,0.75,"dark_comedy#1","a comedy characterized by grim or satiric humor; a comedy having gloomy or disturbing elements"
"n","07016948",0.25,0.625,"tragedy#2","drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity"
"n","07090108",0,0.625,"wordiness#1 windiness#2 prolixness#1 prolixity#1 long-windedness#1","boring verbosity"
"n","07102034",0.125,0.625,"catachresis#1","strained or paradoxical use of words either in error (as `blatant' to mean `flagrant') or deliberately (as in a mixed metaphor: `blind mouths')"
"n","07122018",0,0.625,"catcall#1","a cry expressing disapproval"
"n","07126383",0,0.625,"moan#1 groan#1","an utterance expressing pain or disapproval"
"n","07130918",0.125,0.625,"mispronunciation#1","incorrect pronunciation"
"n","07153502",0.125,0.625,"sod's_law#1 murphy's_law#1","humorous axiom stating that anything that can go wrong will go wrong"
"n","07160296",0,0.625,"invocation#2","an incantation used in conjuring or summoning a devil"
"n","07160424",0.25,0.75,"whammy#2 jinx#2 hex#1 curse#3","an evil spell; \"a witch put a curse on his whole family\"; \"he put the whammy on me\""
"n","07168486",0,0.625,"countermand#1","a contrary command cancelling or reversing a previous command"
